Brand,User_Age,Daily_Usage_(in_minutes)
Xioami,56,258
Samsung,30,149
Xioami,43,135
Apple,29,43
Motorola,36,146
Oppo,32,60
Xioami,12,226
Samsung,36,-58
Lenovo,50,164
Vivo,55,138
Vivo,38,46
Lenovo,33,127
RealMe,53,78
Apple,20,214
Xioami,19,109
LG,50,136
Lenovo,77,42
Nokia,20,114
LG,23,80
Xioami,64,121
Vivo,35,213
Apple,46,183
LG,25,128
Lenovo,31,71
LG,63,44
Xioami,35,95
Oppo,81,179
Lenovo,35,213
LG,53,123
Xioami,40,16
Nokia,39,32
OnePlus,43,141
LG,38,-41
Apple,45,137
LG,26,117
LYF,34,241
Xioami,21,139
LG,24,-1
LG,14,124
Oppo,59,91
Samsung,43,166
Vivo,44,117
LYF,52,72
Lenovo,37,103
Samsung,34,187
Apple,15,94
OnePlus,42,114
LYF,37,47
Apple,41,175
LYF,54,157
LYF,25,148
Xioami,50,159
Vivo,54,135
Honor,39,222
Honor,28,223
Honor,46,120
RealMe,43,54
LG,44,80
Honor,68,37
OnePlus,57,60
RealMe,27,298
Honor,22,158
Oppo,26,191
Vivo,26,40
Apple,34,183
Apple,33,231
Apple,32,134
Vivo,66,247
Vivo,35,66
Nokia,39,183
Samsung,19,208
Motorola,21,0
Vivo,45,138
Xioami,47,92
LYF,37,25
Vivo,22,137
Samsung,73,-70
RealMe,73,229
Samsung,28,44
Motorola,15,85
LG,19,221
Nokia,51,53
Lenovo,39,275
Xioami,17,148
LYF,40,213
LG,44,276
Motorola,56,309
Nokia,24,65
Motorola,33,172
Nokia,30,150
Oppo,21,176
Motorola,36,61
Vivo,32,136
OnePlus,24,155
Honor,29,206
LYF,20,110
Nokia,37,62
Xioami,92,-17
Xioami,43,140
Oppo,41,188
Motorola,22,43
OnePlus,56,89
LG,20,161
Xioami,26,42
Xioami,35,159
Vivo,32,18
OnePlus,40,105
Lenovo,70,78
Apple,28,113
Motorola,43,1
OnePlus,70,131
Nokia,14,210
RealMe,48,33
Motorola,28,240
OnePlus,34,120
Xioami,66,276
Xioami,26,-40
OnePlus,33,29
Lenovo,48,27
OnePlus,30,133
RealMe,16,243
RealMe,25,129
OnePlus,10,118
RealMe,40,152
Lenovo,34,38
Motorola,50,36
LG,30,309
LG,71,205
Apple,23,190
Oppo,22,-27
Samsung,32,247
Honor,23,1
Oppo,20,141
Samsung,55,95
Lenovo,40,43
Motorola,40,103
LYF,24,137
Oppo,61,100
Motorola,26,158
Lenovo,37,46
Vivo,26,138
Nokia,51,72
Xioami,40,187
Motorola,17,96
Honor,45,2
Honor,39,198
OnePlus,43,236
Honor,57,136
Honor,42,169
Lenovo,35,115
RealMe,23,-60
Nokia,17,105
Apple,23,120
Lenovo,56,171
LYF,24,354
LG,20,40
Nokia,24,33
Xioami,22,57
OnePlus,72,199
Honor,64,180
Lenovo,15,233
Lenovo,55,-21
Apple,36,-84
Apple,13,107
Lenovo,43,59
OnePlus,35,89
Samsung,27,58
Motorola,32,235
Motorola,49,59
Nokia,61,97
Honor,25,-7
Apple,58,164
Samsung,22,-41
Oppo,12,55
Apple,20,114
Apple,52,95
Honor,24,101
LG,43,69
Honor,40,-1
Apple,17,16
Xioami,39,136
Xioami,38,148
Samsung,55,176
RealMe,25,-8
Oppo,25,4
Nokia,35,230
Samsung,39,82
Apple,28,97
RealMe,48,272
Apple,39,283
Samsung,18,110
Nokia,17,112
Honor,33,93
LYF,61,-30
Honor,44,90
Vivo,26,143
Vivo,43,74
Apple,36,163
Lenovo,24,116
Honor,65,29
Nokia,41,92
OnePlus,27,159
Samsung,22,133
OnePlus,38,120
Vivo,24,150
Lenovo,24,142
RealMe,62,200
LYF,20,43
Apple,75,52
Oppo,27,17
Apple,39,193
Oppo,33,200
Oppo,32,239
RealMe,39,152
Apple,25,152
Vivo,37,170
Honor,22,183
Apple,88,123
Honor,44,64
RealMe,48,73
Nokia,14,-76
Xioami,46,152
Motorola,19,41
Nokia,49,83
LG,26,209
Honor,65,112
Nokia,16,46
Vivo,38,36
Lenovo,25,66
Oppo,46,101
LYF,15,177
RealMe,45,122
Samsung,41,-33
Oppo,36,170
OnePlus,20,38
Lenovo,26,82
Honor,21,231
Nokia,19,185
Motorola,24,216
Nokia,28,43
Nokia,38,-67
Nokia,42,232
OnePlus,16,66
RealMe,54,60
RealMe,22,136
Honor,37,157
Apple,43,97
Oppo,26,118
Samsung,36,108
Nokia,16,110
RealMe,42,148
Apple,14,92
Xioami,38,108
Xioami,20,57
LYF,30,79
Samsung,40,98
Lenovo,27,254
OnePlus,47,143
Nokia,25,39
Honor,32,183
RealMe,40,46
RealMe,26,72
LG,35,117
Honor,38,120
Vivo,14,90
RealMe,37,17
Apple,25,247
Vivo,43,170
Apple,34,32
Motorola,28,193
OnePlus,16,175
Vivo,51,181
Nokia,29,91
Xioami,57,84
Nokia,35,165
LYF,36,62
Honor,20,215
Xioami,47,236
Samsung,25,89
Lenovo,19,60
Apple,26,125
OnePlus,37,35
Lenovo,29,45
Samsung,29,168
Motorola,35,215
Lenovo,49,98
OnePlus,62,168
Xioami,39,149
Lenovo,23,111
LG,44,158
Nokia,32,47
RealMe,72,103
Oppo,59,147
OnePlus,33,115
Lenovo,34,89
OnePlus,35,172
Motorola,42,144
OnePlus,39,177
Apple,60,139
Apple,29,63
Nokia,34,99
Vivo,17,144
Oppo,45,173
Honor,26,176
RealMe,17,143
Vivo,48,83
Xioami,31,98
OnePlus,26,209
Vivo,34,80
OnePlus,22,109
Samsung,13,188
Samsung,69,105
Apple,42,148
OnePlus,27,111
LG,46,193
Oppo,36,139
Vivo,36,94
Oppo,21,165
Honor,33,121
Honor,28,119
Lenovo,39,119
Lenovo,32,114
Samsung,16,108
LYF,23,80
Nokia,30,91
Oppo,51,17
Oppo,33,86
LYF,29,174
Honor,42,241
OnePlus,65,103
Samsung,43,101
LYF,39,76
Oppo,36,23
Samsung,29,-23
Vivo,46,186
Xioami,31,80
LG,57,18
Motorola,33,264
RealMe,47,24
Nokia,27,252
Honor,10,128
Nokia,45,-79
Xioami,58,11
Motorola,39,108
Motorola,30,179
Motorola,31,137
Honor,19,154
Samsung,44,177
Apple,44,194
Oppo,37,58
Samsung,19,-61
Oppo,43,38
